Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,Boundaries of Canaan,Numbers 34:1-29[[@Bible:Numbers 34:1-29]],Numbers 34:1-29
,Towns for the Levites,Numbers 35:1-5[[@Bible:Numbers 35:1-5]],Numbers 35:1-5
,Cities of Refuge,Numbers 35:6-34[[@Bible:Numbers 35:6-34]],Numbers 35:6-34
,Inheritance of Zelophehad's Daughters,Numbers 36:1-13[[@Bible:Numbers 36:1-13]],Numbers 36:1-13
Deuteronomy,,,
,The Command to Leave Horeb,Deuteronomy 1:1-8[[@Bible:Deuteronomy 1:1-8]],Deuteronomy 1:1-8
,The Appointment of Leaders,Deuteronomy 1:9-18[[@Bible:Deuteronomy 1:9-18]],Deuteronomy 1:9-18
,Spies Sent Out,Deuteronomy 1:19-25[[@Bible:Deuteronomy 1:19-25]],Deuteronomy 1:19-25
,Rebellion Against the LORD,Deuteronomy 1:26-46[[@Bible:Deuteronomy 1:26-46]],Deuteronomy 1:26-46
,Wanderings in the Desert,Deuteronomy 2:1-23[[@Bible:Deuteronomy 2:1-23]],Deuteronomy 2:1-23
,Defeat of Sihon King of Heshbon,Deuteronomy 2:24-37[[@Bible:Deuteronomy 2:24-37]],Deuteronomy 2:24-37
,Defeat of Og King of Bashan,Deuteronomy 3:1-11[[@Bible:Deuteronomy 3:1-11]],Deuteronomy 3:1-11
,Division of the Land,Deuteronomy 3:12-20[[@Bible:Deuteronomy 3:12-20]],Deuteronomy 3:12-20
,Moses Forbidden to Cross the Jordan,Deuteronomy 3:21-29[[@Bible:Deuteronomy 3:21-29]],Deuteronomy 3:21-29
,Obedience Commanded,Deuteronomy 4:1-14[[@Bible:Deuteronomy 4:1-14]],Deuteronomy 4:1-14
,Idolatry Forbidden,Deuteronomy 4:15-31[[@Bible:Deuteronomy 4:15-31]],Deuteronomy 4:15-31
,The Lord Is God,Deuteronomy 4:32-40[[@Bible:Deuteronomy 4:32-40]],Deuteronomy 4:32-40
,Cities of Refuge,Deuteronomy 4:41-43[[@Bible:Deuteronomy 4:41-43]],Deuteronomy 4:41-43
,Introduction to the Law,Deuteronomy 4:44-49[[@Bible:Deuteronomy 4:44-49]],Deuteronomy 4:44-49
,The Ten Commandments,Deuteronomy 5:1-33[[@Bible:Deuteronomy 5:1-33]],Deuteronomy 5:1-33
,Love the LORD Your God,Deuteronomy 6:1-25[[@Bible:Deuteronomy 6:1-25]],Deuteronomy 6:1-25
,Driving Out the Nations,Deuteronomy 7:1-26[[@Bible:Deuteronomy 7:1-26]],Deuteronomy 7:1-26
,Do Not Forget the LORD,Deuteronomy 8:1-20[[@Bible:Deuteronomy 8:1-20]],Deuteronomy 8:1-20
,Not Because of Israel's Righteousness,Deuteronomy 9:1-6[[@Bible:Deuteronomy 9:1-6]],Deuteronomy 9:1-6
,The Golden Calf,Deuteronomy 9:7-29[[@Bible:Deuteronomy 9:7-29]],Deuteronomy 9:7-29
,Tablets Like the First Ones,Deuteronomy 10:1-11[[@Bible:Deuteronomy 10:1-11]],Deuteronomy 10:1-11
,Fear the LORD,Deuteronomy 10:12-22[[@Bible:Deuteronomy 10:12-22]],Deuteronomy 10:12-22
,Love and Obey the LORD,Deuteronomy 11:1-32[[@Bible:Deuteronomy 11:1-32]],Deuteronomy 11:1-32
,The One Place of Worship,Deuteronomy 12:1-32[[@Bible:Deuteronomy 12:1-32]],Deuteronomy 12:1-32
,Worshiping Other Gods,Deuteronomy 13:1-18[[@Bible:Deuteronomy 13:1-18]],Deuteronomy 13:1-18
,Clean and Unclean Food,Deuteronomy 14:1-21[[@Bible:Deuteronomy 14:1-21]],Deuteronomy 14:1-21
,Tithes,Deuteronomy 14:22-29[[@Bible:Deuteronomy 14:22-29]],Deuteronomy 14:22-29
,The Year for Canceling Debts,Deuteronomy 15:1-11[[@Bible:Deuteronomy 15:1-11]],Deuteronomy 15:1-11
,Freeing Servants,Deuteronomy 15:12-18[[@Bible:Deuteronomy 15:12-18]],Deuteronomy 15:12-18
,The Firstborn Animals,Deuteronomy 15:19-23[[@Bible:Deuteronomy 15:19-23]],Deuteronomy 15:19-23
,Passover,Deuteronomy 16:1-8[[@Bible:Deuteronomy 16:1-8]],Deuteronomy 16:1-8
,Feast of Weeks,Deuteronomy 16:9-12[[@Bible:Deuteronomy 16:9-12]],Deuteronomy 16:9-12
,Feast of Tabernacles,Deuteronomy 16:13-17[[@Bible:Deuteronomy 16:13-17]],Deuteronomy 16:13-17
,Judges,Deuteronomy 16:18-20[[@Bible:Deuteronomy 16:18-20]],Deuteronomy 16:18-20
,Worshiping Other Gods,Deuteronomy 16:21-17:7[[@Bible:Deuteronomy 16:21-17:7]],Deuteronomy 16:21-17:7
,Law Courts,Deuteronomy 17:8-13[[@Bible:Deuteronomy 17:8-13]],Deuteronomy 17:8-13
,The King,Deuteronomy 17:14-20[[@Bible:Deuteronomy 17:14-20]],Deuteronomy 17:14-20
,Offerings for Priests and Levites,Deuteronomy 18:1-8[[@Bible:Deuteronomy 18:1-8]],Deuteronomy 18:1-8
,Detestable Practices,Deuteronomy 18:9-13[[@Bible:Deuteronomy 18:9-13]],Deuteronomy 18:9-13
,The Prophet,Deuteronomy 18:14-22[[@Bible:Deuteronomy 18:14-22]],Deuteronomy 18:14-22
,Cities of Refuge,Deuteronomy 19:1-14[[@Bible:Deuteronomy 19:1-14]],Deuteronomy 19:1-14
,Witnesses,Deuteronomy 19:15-21[[@Bible:Deuteronomy 19:15-21]],Deuteronomy 19:15-21
,Going to War,Deuteronomy 20:1-20[[@Bible:Deuteronomy 20:1-20]],Deuteronomy 20:1-20
,Atonement for an Unsolved Murder,Deuteronomy 21:1-9[[@Bible:Deuteronomy 21:1-9]],Deuteronomy 21:1-9
,Marrying a Captive Woman,Deuteronomy 21:10-14[[@Bible:Deuteronomy 21:10-14]],Deuteronomy 21:10-14
,The Right of the Firstborn,Deuteronomy 21:15-17[[@Bible:Deuteronomy 21:15-17]],Deuteronomy 21:15-17
,A Rebellious Son,Deuteronomy 21:18-21[[@Bible:Deuteronomy 21:18-21]],Deuteronomy 21:18-21
,Various Laws,Deuteronomy 21:22-22:12[[@Bible:Deuteronomy 21:22-22:12]],Deuteronomy 21:22-22:12
,Marriage Violations,Deuteronomy 22:13-30[[@Bible:Deuteronomy 22:13-30]],Deuteronomy 22:13-30
,Exclusion From the Assembly,Deuteronomy 23:1-8[[@Bible:Deuteronomy 23:1-8]],Deuteronomy 23:1-8
,Uncleanness in the Camp,Deuteronomy 23:9-14[[@Bible:Deuteronomy 23:9-14]],Deuteronomy 23:9-14
,Miscellaneous Laws,Deuteronomy 23:15-25:19[[@Bible:Deuteronomy 23:15-25:19]],Deuteronomy 23:15-25:19
,Firstfruits and Tithes,Deuteronomy 26:1-15[[@Bible:Deuteronomy 26:1-15]],Deuteronomy 26:1-15
,Follow the LORD 's Commands,Deuteronomy 26:16-19[[@Bible:Deuteronomy 26:16-19]],Deuteronomy 26:16-19
,The Altar on Mount Ebal,Deuteronomy 27:1-8[[@Bible:Deuteronomy 27:1-8]],Deuteronomy 27:1-8
,Curses From Mount Ebal,Deuteronomy 27:9-26[[@Bible:Deuteronomy 27:9-26]],Deuteronomy 27:9-26
,Blessings for Obedience,Deuteronomy 28:1-14[[@Bible:Deuteronomy 28:1-14]],Deuteronomy 28:1-14
,Curses for Disobedience,Deuteronomy 28:15-68[[@Bible:Deuteronomy 28:15-68]],Deuteronomy 28:15-68
,Renewal of the Covenant,Deuteronomy 29:1-29[[@Bible:Deuteronomy 29:1-29]],Deuteronomy 29:1-29
,Prosperity After Turning to the LORD,Deuteronomy 30:1-20[[@Bible:Deuteronomy 30:1-20]],Deuteronomy 30:1-20
,Joshua to Succeed Moses,Deuteronomy 31:1-8[[@Bible:Deuteronomy 31:1-8]],Deuteronomy 31:1-8
,The Reading of the Law,Deuteronomy 31:9-13[[@Bible:Deuteronomy 31:9-13]],Deuteronomy 31:9-13
,Israel's Rebellion Predicted,Deuteronomy 31:14-29[[@Bible:Deuteronomy 31:14-29]],Deuteronomy 31:14-29
,The Song of Moses,Deuteronomy 31:30-32:47[[@Bible:Deuteronomy 31:30-32:47]],Deuteronomy 31:30-32:47
,Moses to Die on Mount Nebo,Deuteronomy 32:48-52[[@Bible:Deuteronomy 32:48-52]],Deuteronomy 32:48-52
,Moses Blesses the Tribes,Deuteronomy 33:1-29[[@Bible:Deuteronomy 33:1-29]],Deuteronomy 33:1-29
,The Death of Moses,Deuteronomy 34:1-12[[@Bible:Deuteronomy 34:1-12]],Deuteronomy 34:1-12
Joshua,,,
,The LORD Commands Joshua,Joshua 1:1-18[[@Bible:Joshua 1:1-18]],Joshua 1:1-18
,Rahab and the Spies,Joshua 2:1-24[[@Bible:Joshua 2:1-24]],Joshua 2:1-24
,Crossing the Jordan,Joshua 3:1-4:24[[@Bible:Joshua 3:1-4:24]],Joshua 3:1-4:24
,Circumcision at Gilgal,Joshua 5:1-12[[@Bible:Joshua 5:1-12]],Joshua 5:1-12
,The Fall of Jericho,Joshua 5:13-6:27[[@Bible:Joshua 5:13-6:27]],Joshua 5:13-6:27
,Achan's Sin,Joshua 7:1-26[[@Bible:Joshua 7:1-26]],Joshua 7:1-26
,Ai Destroyed,Joshua 8:1-29[[@Bible:Joshua 8:1-29]],Joshua 8:1-29
,The Covenant Renewed at Mount Ebal,Joshua 8:30-35[[@Bible:Joshua 8:30-35]],Joshua 8:30-35
,The Gibeonite Deception,Joshua 9:1-27[[@Bible:Joshua 9:1-27]],Joshua 9:1-27
,The Sun Stands Still,Joshua 10:1-15[[@Bible:Joshua 10:1-15]],Joshua 10:1-15
,Five Amorite Kings Killed,Joshua 10:16-28[[@Bible:Joshua 10:16-28]],Joshua 10:16-28
,Southern Cities Conquered,Joshua 10:29-43[[@Bible:Joshua 10:29-43]],Joshua 10:29-43
,Northern Kings Defeated,Joshua 11:1-23[[@Bible:Joshua 11:1-23]],Joshua 11:1-23
,List of Defeated Kings,Joshua 12:1-24[[@Bible:Joshua 12:1-24]],Joshua 12:1-24
,Land Still to Be Taken,Joshua 13:1-7[[@Bible:Joshua 13:1-7]],Joshua 13:1-7
,Division of the Land East of the Jordan,Joshua 13:8-33[[@Bible:Joshua 13:8-33]],Joshua 13:8-33
,Division of the Land West of the Jordan,Joshua 14:1-5[[@Bible:Joshua 14:1-5]],Joshua 14:1-5
,Hebron Given to Caleb,Joshua 14:6-15[[@Bible:Joshua 14:6-15]],Joshua 14:6-15
,Allotment for Judah,Joshua 15:1-63[[@Bible:Joshua 15:1-63]],Joshua 15:1-63
,Allotment for Ephraim and Manasseh,Joshua 16:1-17:18[[@Bible:Joshua 16:1-17:18]],Joshua 16:1-17:18
,Division of the Rest of the Land,Joshua 18:1-10[[@Bible:Joshua 18:1-10]],Joshua 18:1-10
,Allotment for Benjamin,Joshua 18:11-28[[@Bible:Joshua 18:11-28]],Joshua 18:11-28
,Allotment for Simeon,Joshua 19:1-9[[@Bible:Joshua 19:1-9]],Joshua 19:1-9
,Allotment for Zebulun,Joshua 19:10-16[[@Bible:Joshua 19:10-16]],Joshua 19:10-16
,Allotment for Issachar,Joshua 19:17-23[[@Bible:Joshua 19:17-23]],Joshua 19:17-23
,Allotment for Asher,Joshua 19:24-31[[@Bible:Joshua 19:24-31]],Joshua 19:24-31
,Allotment for Naphtali,Joshua 19:32-39[[@Bible:Joshua 19:32-39]],Joshua 19:32-39
,Allotment for Dan,Joshua 19:40-48[[@Bible:Joshua 19:40-48]],Joshua 19:40-48
,Allotment for Joshua,Joshua 19:49-51[[@Bible:Joshua 19:49-51]],Joshua 19:49-51
,Cities of Refuge,Joshua 20:1-9[[@Bible:Joshua 20:1-9]],Joshua 20:1-9
,Towns for the Levites,Joshua 21:1-45[[@Bible:Joshua 21:1-45]],Joshua 21:1-45
,Eastern Tribes Return Home,Joshua 22:1-34[[@Bible:Joshua 22:1-34]],Joshua 22:1-34
,Joshua's Farewell to the Leaders,Joshua 23:1-16[[@Bible:Joshua 23:1-16]],Joshua 23:1-16
,The Covenant Renewed at Shechem,Joshua 24:1-27[[@Bible:Joshua 24:1-27]],Joshua 24:1-27
,Buried in the Promised Land,Joshua 24:28-33[[@Bible:Joshua 24:28-33]],Joshua 24:28-33
Judges,,,
,Israel Fights the Remaining Canaanites,Judges 1:1-36[[@Bible:Judges 1:1-36]],Judges 1:1-36
,The Angel of the LORD at Bokim,Judges 2:1-5[[@Bible:Judges 2:1-5]],Judges 2:1-5
,Disobedience and Defeat,Judges 2:6-3:6[[@Bible:Judges 2:6-3:6]],Judges 2:6-3:6
,Othniel,Judges 3:7-11[[@Bible:Judges 3:7-11]],Judges 3:7-11
,Ehud,Judges 3:12-30[[@Bible:Judges 3:12-30]],Judges 3:12-30
,Shamgar,Judges 3:31[[@Bible:Judges 3:31]],Judges 3:31
,Deborah,Judges 4:1-24[[@Bible:Judges 4:1-24]],Judges 4:1-24
,The Song of Deborah,Judges 5:1-31[[@Bible:Judges 5:1-31]],Judges 5:1-31
,Gideon,Judges 6:1-40[[@Bible:Judges 6:1-40]],Judges 6:1-40
,Gideon Defeats the Midianites,Judges 7:1-25[[@Bible:Judges 7:1-25]],Judges 7:1-25
,Zebah and Zalmunna,Judges 8:1-21[[@Bible:Judges 8:1-21]],Judges 8:1-21
,Gideon's Ephod,Judges 8:22-27[[@Bible:Judges 8:22-27]],Judges 8:22-27
,Gideon's Death,Judges 8:28-35[[@Bible:Judges 8:28-35]],Judges 8:28-35
,Abimelech,Judges 9:1-57[[@Bible:Judges 9:1-57]],Judges 9:1-57
,Tola,Judges 10:1-2[[@Bible:Judges 10:1-2]],Judges 10:1-2
,Jair,Judges 10:3-5[[@Bible:Judges 10:3-5]],Judges 10:3-5
,Jephthah,Judges 10:6-11:40[[@Bible:Judges 10:6-11:40]],Judges 10:6-11:40
,Jephthah and Ephraim,Judges 12:1-7[[@Bible:Judges 12:1-7]],Judges 12:1-7
,"Ibzan, Elon and Abdon",Judges 12:8-15[[@Bible:Judges 12:8-15]],Judges 12:8-15
,The Birth of Samson,Judges 13:1-25[[@Bible:Judges 13:1-25]],Judges 13:1-25
,Samson's Marriage,Judges 14:1-20[[@Bible:Judges 14:1-20]],Judges 14:1-20
,Samson's Vengeance on the Philistines,Judges 15:1-20[[@Bible:Judges 15:1-20]],Judges 15:1-20
,Samson and Delilah,Judges 16:1-22[[@Bible:Judges 16:1-22]],Judges 16:1-22
,The Death of Samson,Judges 16:23-31[[@Bible:Judges 16:23-31]],Judges 16:23-31
,Micah's Idols,Judges 17:1-13[[@Bible:Judges 17:1-13]],Judges 17:1-13
,Danites Settle in Laish,Judges 18:1-31[[@Bible:Judges 18:1-31]],Judges 18:1-31
,A Levite and His Concubine,Judges 19:1-30[[@Bible:Judges 19:1-30]],Judges 19:1-30
,Israelites Fight the Benjamites,Judges 20:1-48[[@Bible:Judges 20:1-48]],Judges 20:1-48
,Wives for the Benjamites,Judges 21:1-25[[@Bible:Judges 21:1-25]],Judges 21:1-25
Ruth,,,
,Naomi and Ruth,Ruth 1:1-22[[@Bible:Ruth 1:1-22]],Ruth 1:1-22
,Ruth Meets Boaz,Ruth 2:1-23[[@Bible:Ruth 2:1-23]],Ruth 2:1-23
,Ruth and Boaz at the Threshing Floor,Ruth 3:1-18[[@Bible:Ruth 3:1-18]],Ruth 3:1-18
,Boaz Marries Ruth,Ruth 4:1-12[[@Bible:Ruth 4:1-12]],Ruth 4:1-12
,The Genealogy of David,Ruth 4:13-22[[@Bible:Ruth 4:13-22]],Ruth 4:13-22
1 Samuel,,,
,The Birth of Samuel,1 Samuel 1:1-20[[@Bible:1 Samuel 1:1-20]],1 Samuel 1:1-20
,Hannah Dedicates Samuel,1 Samuel 1:21-28[[@Bible:1 Samuel 1:21-28]],1 Samuel 1:21-28
,Hannah's Prayer,1 Samuel 2:1-11[[@Bible:1 Samuel 2:1-11]],1 Samuel 2:1-11
,Eli's Wicked Sons,1 Samuel 2:12-26[[@Bible:1 Samuel 2:12-26]],1 Samuel 2:12-26
,Prophecy Against the House of Eli,1 Samuel 2:27-36[[@Bible:1 Samuel 2:27-36]],1 Samuel 2:27-36
,The LORD Calls Samuel,1 Samuel 3:1-4:1[[@Bible:1 Samuel 3:1-4:1]],1 Samuel 3:1-4:1
,The Philistines Capture the Ark,1 Samuel 4:2-11[[@Bible:1 Samuel 4:2-11]],1 Samuel 4:2-11
,Death of Eli,1 Samuel 4:12-22[[@Bible:1 Samuel 4:12-22]],1 Samuel 4:12-22
,The Ark in Ashdod and Ekron,1 Samuel 5:1-12[[@Bible:1 Samuel 5:1-12]],1 Samuel 5:1-12
,The Ark Returned to Israel,1 Samuel 6:1-7:1[[@Bible:1 Samuel 6:1-7:1]],1 Samuel 6:1-7:1
,Samuel Subdues the Philistines at Mizpah,1 Samuel 7:2-17[[@Bible:1 Samuel 7:2-17]],1 Samuel 7:2-17
,Israel Asks for a King,1 Samuel 8:1-22[[@Bible:1 Samuel 8:1-22]],1 Samuel 8:1-22
,Samuel Anoints Saul,1 Samuel 9:1-10:8[[@Bible:1 Samuel 9:1-10:8]],1 Samuel 9:1-10:8
,Saul Made King,1 Samuel 10:9-27[[@Bible:1 Samuel 10:9-27]],1 Samuel 10:9-27
,Saul Rescues the City of Jabesh,1 Samuel 11:1-11[[@Bible:1 Samuel 11:1-11]],1 Samuel 11:1-11
,Saul Confirmed as King,1 Samuel 11:12-15[[@Bible:1 Samuel 11:12-15]],1 Samuel 11:12-15
,Samuel's Farewell Speech,1 Samuel 12:1-25[[@Bible:1 Samuel 12:1-25]],1 Samuel 12:1-25
,Samuel Rebukes Saul,1 Samuel 13:1-15[[@Bible:1 Samuel 13:1-15]],1 Samuel 13:1-15
,Israel Without Weapons,1 Samuel 13:16-22[[@Bible:1 Samuel 13:16-22]],1 Samuel 13:16-22
,Jonathan Attacks the Philistines,1 Samuel 13:23-14:14[[@Bible:1 Samuel 13:23-14:14]],1 Samuel 13:23-14:14
,Israel Routs the Philistines,1 Samuel 14:15-23[[@Bible:1 Samuel 14:15-23]],1 Samuel 14:15-23
,Jonathan Eats Honey,1 Samuel 14:24-48[[@Bible:1 Samuel 14:24-48]],1 Samuel 14:24-48
,Saul's Family,1 Samuel 14:49-52[[@Bible:1 Samuel 14:49-52]],1 Samuel 14:49-52
,The LORD Rejects Saul as King,1 Samuel 15:1-35[[@Bible:1 Samuel 15:1-35]],1 Samuel 15:1-35
,Samuel Anoints David,1 Samuel 16:1-13[[@Bible:1 Samuel 16:1-13]],1 Samuel 16:1-13
,David in Saul's Service,1 Samuel 16:14-23[[@Bible:1 Samuel 16:14-23]],1 Samuel 16:14-23
,David and Goliath,1 Samuel 17:1-58[[@Bible:1 Samuel 17:1-58]],1 Samuel 17:1-58
,Saul's Jealousy of David,1 Samuel 18:1-30[[@Bible:1 Samuel 18:1-30]],1 Samuel 18:1-30
,Saul Tries to Kill David,1 Samuel 19:1-24[[@Bible:1 Samuel 19:1-24]],1 Samuel 19:1-24
,David and Jonathan,1 Samuel 20:1-42[[@Bible:1 Samuel 20:1-42]],1 Samuel 20:1-42
,David at Nob,1 Samuel 21:1-9[[@Bible:1 Samuel 21:1-9]],1 Samuel 21:1-9
,David at Gath,1 Samuel 21:10-15[[@Bible:1 Samuel 21:10-15]],1 Samuel 21:10-15
,David at Adullam and Mizpah,1 Samuel 22:1-5[[@Bible:1 Samuel 22:1-5]],1 Samuel 22:1-5
,Saul Kills the Priests of Nob,1 Samuel 22:6-23[[@Bible:1 Samuel 22:6-23]],1 Samuel 22:6-23
,David Saves Keilah,1 Samuel 23:1-6[[@Bible:1 Samuel 23:1-6]],1 Samuel 23:1-6
,Saul Pursues David,1 Samuel 23:7-29[[@Bible:1 Samuel 23:7-29]],1 Samuel 23:7-29
,David Spares Saul's Life,1 Samuel 24:1-22[[@Bible:1 Samuel 24:1-22]],1 Samuel 24:1-22
,"David, Nabal and Abigail",1 Samuel 25:1-44[[@Bible:1 Samuel 25:1-44]],1 Samuel 25:1-44
,David Again Spares Saul's Life,1 Samuel 26:1-25[[@Bible:1 Samuel 26:1-25]],1 Samuel 26:1-25
,David Among the Philistines,1 Samuel 27:1-12[[@Bible:1 Samuel 27:1-12]],1 Samuel 27:1-12
,Saul and the Witch of Endor,1 Samuel 28:1-25[[@Bible:1 Samuel 28:1-25]],1 Samuel 28:1-25
,Achish Sends David Back to Ziklag,1 Samuel 29:1-11[[@Bible:1 Samuel 29:1-11]],1 Samuel 29:1-11
,David Destroys the Amalekites,1 Samuel 30:1-31[[@Bible:1 Samuel 30:1-31]],1 Samuel 30:1-31
,Saul Takes His Life,1 Samuel 31:1-13[[@Bible:1 Samuel 31:1-13]],1 Samuel 31:1-13
2 Samuel,,,
,David Hears of Saul's Death,2 Samuel 1:1-16[[@Bible:2 Samuel 1:1-16]],2 Samuel 1:1-16
,David's Lament for Saul and Jonathan,2 Samuel 1:17-27[[@Bible:2 Samuel 1:17-27]],2 Samuel 1:17-27
,David Anointed King Over Judah,2 Samuel 2:1-7[[@Bible:2 Samuel 2:1-7]],2 Samuel 2:1-7
,War Between the Houses of David and Saul,2 Samuel 2:8-3:5[[@Bible:2 Samuel 2:8-3:5]],2 Samuel 2:8-3:5
,Abner Goes Over to David,2 Samuel 3:6-21[[@Bible:2 Samuel 3:6-21]],2 Samuel 3:6-21
,Joab Murders Abner,2 Samuel 3:22-39[[@Bible:2 Samuel 3:22-39]],2 Samuel 3:22-39
,Ish-Bosheth Murdered,2 Samuel 4:1-12[[@Bible:2 Samuel 4:1-12]],2 Samuel 4:1-12
,David Becomes King Over Israel,2 Samuel 5:1-5[[@Bible:2 Samuel 5:1-5]],2 Samuel 5:1-5
,David Conquers Jerusalem,2 Samuel 5:6-16[[@Bible:2 Samuel 5:6-16]],2 Samuel 5:6-16
,David Defeats the Philistines,2 Samuel 5:17-25[[@Bible:2 Samuel 5:17-25]],2 Samuel 5:17-25
,The Ark Brought to Jerusalem,2 Samuel 6:1-23[[@Bible:2 Samuel 6:1-23]],2 Samuel 6:1-23
,God's Promise to David,2 Samuel 7:1-17[[@Bible:2 Samuel 7:1-17]],2 Samuel 7:1-17
,David's Prayer,2 Samuel 7:18-29[[@Bible:2 Samuel 7:18-29]],2 Samuel 7:18-29
,David's Victories,2 Samuel 8:1-14[[@Bible:2 Samuel 8:1-14]],2 Samuel 8:1-14
,David's Officials,2 Samuel 8:15-18[[@Bible:2 Samuel 8:15-18]],2 Samuel 8:15-18
,David and Mephibosheth,2 Samuel 9:1-13[[@Bible:2 Samuel 9:1-13]],2 Samuel 9:1-13
,David Defeats the Ammonites,2 Samuel 10:1-19[[@Bible:2 Samuel 10:1-19]],2 Samuel 10:1-19
,David and Bathsheba,2 Samuel 11:1-27[[@Bible:2 Samuel 11:1-27]],2 Samuel 11:1-27
,Nathan Rebukes David,2 Samuel 12:1-31[[@Bible:2 Samuel 12:1-31]],2 Samuel 12:1-31
,Amnon and Tamar,2 Samuel 13:1-22[[@Bible:2 Samuel 13:1-22]],2 Samuel 13:1-22
,Absalom Kills Amnon,2 Samuel 13:23-39[[@Bible:2 Samuel 13:23-39]],2 Samuel 13:23-39
,Absalom Returns to Jerusalem,2 Samuel 14:1-33[[@Bible:2 Samuel 14:1-33]],2 Samuel 14:1-33
,Absalom's Conspiracy,2 Samuel 15:1-12[[@Bible:2 Samuel 15:1-12]],2 Samuel 15:1-12
,David Flees,2 Samuel 15:13-37[[@Bible:2 Samuel 15:13-37]],2 Samuel 15:13-37
,David and Ziba,2 Samuel 16:1-4[[@Bible:2 Samuel 16:1-4]],2 Samuel 16:1-4
,Shimei Curses David,2 Samuel 16:5-14[[@Bible:2 Samuel 16:5-14]],2 Samuel 16:5-14
,The Advice of Hushai and Ahithophel,2 Samuel 16:15-17:29[[@Bible:2 Samuel 16:15-17:29]],2 Samuel 16:15-17:29
,Absalom's Death,2 Samuel 18:1-18[[@Bible:2 Samuel 18:1-18]],2 Samuel 18:1-18
,David Mourns,2 Samuel 18:19-19:8[[@Bible:2 Samuel 18:19-19:8]],2 Samuel 18:19-19:8
,David Returns to Jerusalem,2 Samuel 19:9-43[[@Bible:2 Samuel 19:9-43]],2 Samuel 19:9-43
,Sheba Rebels Against David,2 Samuel 20:1-26[[@Bible:2 Samuel 20:1-26]],2 Samuel 20:1-26
,The Gibeonites Avenged,2 Samuel 21:1-14[[@Bible:2 Samuel 21:1-14]],2 Samuel 21:1-14
,Wars Against the Philistines,2 Samuel 21:15-22[[@Bible:2 Samuel 21:15-22]],2 Samuel 21:15-22
,David's Song of Praise,2 Samuel 22:1-51[[@Bible:2 Samuel 22:1-51]],2 Samuel 22:1-51
,The Last Words of David,2 Samuel 23:1-7[[@Bible:2 Samuel 23:1-7]],2 Samuel 23:1-7
,David's Mighty Men,2 Samuel 23:8-39[[@Bible:2 Samuel 23:8-39]],2 Samuel 23:8-39
,David Counts the Fighting Men,2 Samuel 24:1-17[[@Bible:2 Samuel 24:1-17]],2 Samuel 24:1-17
,David Builds an Altar,2 Samuel 24:18-25[[@Bible:2 Samuel 24:18-25]],2 Samuel 24:18-25
1 Kings,,,
,Adonijah Sets Himself Up as King,1 Kings 1:1-27[[@Bible:1 Kings 1:1-27]],1 Kings 1:1-27
,David Makes Solomon King,1 Kings 1:28-53[[@Bible:1 Kings 1:28-53]],1 Kings 1:28-53
,David's Charge to Solomon,1 Kings 2:1-12[[@Bible:1 Kings 2:1-12]],1 Kings 2:1-12
,Solomon's Throne Established,1 Kings 2:13-46[[@Bible:1 Kings 2:13-46]],1 Kings 2:13-46
,Solomon Asks for Wisdom,1 Kings 3:1-15[[@Bible:1 Kings 3:1-15]],1 Kings 3:1-15
,A Wise Ruling,1 Kings 3:16-28[[@Bible:1 Kings 3:16-28]],1 Kings 3:16-28
,Solomon's Officials and Governors,1 Kings 4:1-19[[@Bible:1 Kings 4:1-19]],1 Kings 4:1-19
,Solomon's Daily Provisions,1 Kings 4:20-28[[@Bible:1 Kings 4:20-28]],1 Kings 4:20-28
,Solomon's Wisdom,1 Kings 4:29-34[[@Bible:1 Kings 4:29-34]],1 Kings 4:29-34
,Preparations for Building the Temple,1 Kings 5:1-18[[@Bible:1 Kings 5:1-18]],1 Kings 5:1-18
,Solomon Builds the Temple,1 Kings 6:1-38[[@Bible:1 Kings 6:1-38]],1 Kings 6:1-38
,Solomon Builds His Palace,1 Kings 7:1-12[[@Bible:1 Kings 7:1-12]],1 Kings 7:1-12
,The Temple's Furnishings,1 Kings 7:13-51[[@Bible:1 Kings 7:13-51]],1 Kings 7:13-51
,The Ark Brought to the Temple,1 Kings 8:1-21[[@Bible:1 Kings 8:1-21]],1 Kings 8:1-21
,Solomon's Prayer of Dedication,1 Kings 8:22-61[[@Bible:1 Kings 8:22-61]],1 Kings 8:22-61
,The Dedication of the Temple,1 Kings 8:62-66[[@Bible:1 Kings 8:62-66]],1 Kings 8:62-66
,The LORD Appears to Solomon,1 Kings 9:1-9[[@Bible:1 Kings 9:1-9]],1 Kings 9:1-9
,Solomon's Other Activities,1 Kings 9:10-28[[@Bible:1 Kings 9:10-28]],1 Kings 9:10-28
,The Queen of Sheba Visits Solomon,1 Kings 10:1-13[[@Bible:1 Kings 10:1-13]],1 Kings 10:1-13
,Solomon's Splendor,1 Kings 10:14-29[[@Bible:1 Kings 10:14-29]],1 Kings 10:14-29
,Solomon's Wives,1 Kings 11:1-13[[@Bible:1 Kings 11:1-13]],1 Kings 11:1-13
,Solomon's Adversaries,1 Kings 11:14-25[[@Bible:1 Kings 11:14-25]],1 Kings 11:14-25
,Jeroboam Rebels Against Solomon,1 Kings 11:26-40[[@Bible:1 Kings 11:26-40]],1 Kings 11:26-40
