Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,A Silver Cup in a Sack,Genesis 44:1-34[[@Bible:Genesis 44:1-34]],Genesis 44:1-34
,Joseph Makes Himself Known,Genesis 45:1-28[[@Bible:Genesis 45:1-28]],Genesis 45:1-28
,Jacob Goes to Egypt,Genesis 46:1-47:12[[@Bible:Genesis 46:1-47:12]],Genesis 46:1-47:12
,Joseph and the Famine,Genesis 47:13-31[[@Bible:Genesis 47:13-31]],Genesis 47:13-31
,Manasseh and Ephraim,Genesis 48:1-22[[@Bible:Genesis 48:1-22]],Genesis 48:1-22
,Jacob Blesses His Sons,Genesis 49:1-28[[@Bible:Genesis 49:1-28]],Genesis 49:1-28
,The Death of Jacob,Genesis 49:29-50:14[[@Bible:Genesis 49:29-50:14]],Genesis 49:29-50:14
,Joseph Reassures His Brothers,Genesis 50:15-21[[@Bible:Genesis 50:15-21]],Genesis 50:15-21
,The Death of Joseph,Genesis 50:22-26[[@Bible:Genesis 50:22-26]],Genesis 50:22-26
Exodus,,,
,The Israelites Oppressed,Exodus 1:1-22[[@Bible:Exodus 1:1-22]],Exodus 1:1-22
,The Birth of Moses,Exodus 2:1-10[[@Bible:Exodus 2:1-10]],Exodus 2:1-10
,Moses Flees to Midian,Exodus 2:11-25[[@Bible:Exodus 2:11-25]],Exodus 2:11-25
,Moses and the Burning Bush,Exodus 3:1-22[[@Bible:Exodus 3:1-22]],Exodus 3:1-22
,Signs for Moses,Exodus 4:1-17[[@Bible:Exodus 4:1-17]],Exodus 4:1-17
,Moses Returns to Egypt,Exodus 4:18-31[[@Bible:Exodus 4:18-31]],Exodus 4:18-31
,Bricks Without Straw,Exodus 5:1-21[[@Bible:Exodus 5:1-21]],Exodus 5:1-21
,God Promises Deliverance,Exodus 5:22-6:12[[@Bible:Exodus 5:22-6:12]],Exodus 5:22-6:12
,Family Record of Moses and Aaron,Exodus 6:13-27[[@Bible:Exodus 6:13-27]],Exodus 6:13-27
,Aaron to Speak for Moses,Exodus 6:28-7:7[[@Bible:Exodus 6:28-7:7]],Exodus 6:28-7:7
,Aaron's Staff Becomes a Snake,Exodus 7:8-13[[@Bible:Exodus 7:8-13]],Exodus 7:8-13
,The Plague of Blood,Exodus 7:14-24[[@Bible:Exodus 7:14-24]],Exodus 7:14-24
,The Plague of Frogs,Exodus 7:25-8:15[[@Bible:Exodus 7:25-8:15]],Exodus 7:25-8:15
,The Plague of Gnats,Exodus 8:16-19[[@Bible:Exodus 8:16-19]],Exodus 8:16-19
,The Plague of Flies,Exodus 8:20-32[[@Bible:Exodus 8:20-32]],Exodus 8:20-32
,The Plague on Livestock,Exodus 9:1-7[[@Bible:Exodus 9:1-7]],Exodus 9:1-7
,The Plague of Boils,Exodus 9:8-12[[@Bible:Exodus 9:8-12]],Exodus 9:8-12
,The Plague of Hail,Exodus 9:13-35[[@Bible:Exodus 9:13-35]],Exodus 9:13-35
,The Plague of Locusts,Exodus 10:1-20[[@Bible:Exodus 10:1-20]],Exodus 10:1-20
,The Plague of Darkness,Exodus 10:21-29[[@Bible:Exodus 10:21-29]],Exodus 10:21-29
,The Plague on the Firstborn,Exodus 11:1-10[[@Bible:Exodus 11:1-10]],Exodus 11:1-10
,The Passover,Exodus 12:1-30[[@Bible:Exodus 12:1-30]],Exodus 12:1-30
,The Exodus,Exodus 12:31-42[[@Bible:Exodus 12:31-42]],Exodus 12:31-42
,Passover Restrictions,Exodus 12:43-51[[@Bible:Exodus 12:43-51]],Exodus 12:43-51
,Consecration of the Firstborn,Exodus 13:1-16[[@Bible:Exodus 13:1-16]],Exodus 13:1-16
,Crossing the Sea,Exodus 13:17-14:31[[@Bible:Exodus 13:17-14:31]],Exodus 13:17-14:31
,The Song of Moses and Miriam,Exodus 15:1-21[[@Bible:Exodus 15:1-21]],Exodus 15:1-21
,The Waters of Marah and Elim,Exodus 15:22-27[[@Bible:Exodus 15:22-27]],Exodus 15:22-27
,Manna and Quail,Exodus 16:1-36[[@Bible:Exodus 16:1-36]],Exodus 16:1-36
,Water From the Rock,Exodus 17:1-7[[@Bible:Exodus 17:1-7]],Exodus 17:1-7
,The Amalekites Defeated,Exodus 17:8-16[[@Bible:Exodus 17:8-16]],Exodus 17:8-16
,Jethro Visits Moses,Exodus 18:1-27[[@Bible:Exodus 18:1-27]],Exodus 18:1-27
,At Mount Sinai,Exodus 19:1-25[[@Bible:Exodus 19:1-25]],Exodus 19:1-25
,The Ten Commandments,Exodus 20:1-21[[@Bible:Exodus 20:1-21]],Exodus 20:1-21
,Idols and Altars,Exodus 20:22-21:1[[@Bible:Exodus 20:22-21:1]],Exodus 20:22-21:1
,Hebrew Servants,Exodus 21:2-11[[@Bible:Exodus 21:2-11]],Exodus 21:2-11
,Personal Injuries,Exodus 21:12-36[[@Bible:Exodus 21:12-36]],Exodus 21:12-36
,Protection of Property,Exodus 22:1-15[[@Bible:Exodus 22:1-15]],Exodus 22:1-15
,Social Responsibility,Exodus 22:16-31[[@Bible:Exodus 22:16-31]],Exodus 22:16-31
,Laws of Justice and Mercy,Exodus 23:1-9[[@Bible:Exodus 23:1-9]],Exodus 23:1-9
,Sabbath Laws,Exodus 23:10-13[[@Bible:Exodus 23:10-13]],Exodus 23:10-13
,The Three Annual Festivals,Exodus 23:14-19[[@Bible:Exodus 23:14-19]],Exodus 23:14-19
,God's Angel to Prepare the Way,Exodus 23:20-33[[@Bible:Exodus 23:20-33]],Exodus 23:20-33
,The Covenant Confirmed,Exodus 24:1-18[[@Bible:Exodus 24:1-18]],Exodus 24:1-18
,Offerings for the Tabernacle,Exodus 25:1-9[[@Bible:Exodus 25:1-9]],Exodus 25:1-9
